RESEARCH_REPORT_ID,RECORD_ID,TITLE,CONTENT,SENTIMENT_CLASSIFY,HALF_POSITIVE_PROBABILITY,POSITIVE_PROBABILITY,NEGATIVE_PROBABILITY,NEUTRAL_PROBABILITY,SENTIMENT_SCORE
765884,0,"In 2012, the spandex industry was in a downturn, dragging down the company's performance","In 2012, the company's 15,000 tons of high-temperature resistant and thin fabric-specific spandex production capacity was put into production. The spandex production and sales increased by 39.84% year-on-year, driving the operating income to increase year-on-year. However, due to the sluggish price of spandex in the first half of 2012, the spandex industry suffered losses. Although the product price and earnings rebounded slightly in the second half of the year, the average annual price was still at a low level. The company's comprehensive gross profit margin decreased from 15.08% in 2011 to 9.99%. As a result, the operating profit and the net profit after the non-deductible profit decreased under the condition that the expense ratio was basically stable (the net profit after deduction of the company was -208,700 yuan, a year-on-year decrease of 62.03 million yuan). In the report period, the company received non-recurring income of 39.27 million yuan (including government subsidies of 46.26 million yuan), contributing EPS of 0.05 yuan, partially offsetting the decline in main profit.",-2,0.07,0.18,0.74,0.01,-0.86
497082,2,"Aluminum prices will continue to be sluggish, stock prices lack catalyst","Since the beginning of the year, A/H shares have been -7.9/+2.6%, and the current P/B of A/H shares in 2014 is 1.1/0.8 times. Considering that the industry surplus situation is still grim in the future, aluminum prices will continue to be sluggish, and it will take a long time for the company to operate out of the predicament, and the stock price lacks upward momentum. Maintain A-share target price of 3.1 yuan and H-share target price of 2.6 Hong Kong dollars, compared with the current share price of 0% and 8% respectively. Maintain a “Neutral” rating. Risk: Aluminum prices have fallen more than expected, and the cost of capital reduction is not enough.",-2,0.12,0.15,0.65,0.08,-0.86
2153709,0,"Business intelligence is lower than expected, adding transformation and upgrading","The competition in the RFID and EAS industries intensified. The company adopted a competitive price reduction strategy, which slowed the growth of RFID business revenue during the reporting period. In the report period, the company realized revenue of 282 million yuan, a year-on-year increase of 5.32%, compared with 8.26% in the semi-annual report. It has improved, and the EAS business realized revenue of 416 million yuan, a year-on-year decrease of 13.22%. Affected by rising raw material prices and price cuts, the comprehensive gross profit margin of the business intelligence segment fell 5.64 percentage points year-on-year to 34.3%. Due to the unsatisfactory impact of overseas customers’ defaults and overseas investment performance, the company’s capital",-2,0.04,0.19,0.75,0.02,-0.86
728087,1,"New store and old store with promotion, gross profit margin continues to decline","The company's expansion this year is more active. In 2011, there were 24 newly opened stores with an area of ??443,200 square meters, an increase of 14 new stores and an increase of 296,200 square meters. During the incubation period of the new store, the promotion efforts were large and the gross profit margin was low. The old stores also increased the promotion efforts in the depressed market environment, resulting in a decline in the overall gross profit margin. From the gross profit margin of the first three quarters of the previous 11 years, the gross profit margin of each quarter has declined to varying degrees.",-2,0.16,0.12,0.56,0.16,-0.86
538994,1,"The risk of continued business decline is small, but recovery is expected to take a long time.","Since the beginning of this year, the demand for the real economy has not deteriorated significantly, but the profitability of steel companies has continued to decline to the loss of the industry. The continued destocking of steel traders is an important factor. At present, most of the financing steel traders have gone bankrupt, social inventories have fallen to a lower level, and there is a replenishment market at the end of the year, which supports steel prices and steel enterprise profits. However, due to the fact that the demand for the real economy has not yet undergone a fundamental reversal, and the output of the steel price has fallen, the output is expected to remain high. It is expected that this cycle will require a longer recovery time.",-2,0.06,0.19,0.68,0.07,-0.86
692231,3,"Stock price short-term adjustment, it is recommended to buy on dips","As net profit is lower than expected, especially the net decrease in net interest margin will affect investors' expectations for future growth. We expect stock prices, especially H shares, to be adjusted in the short term, but we think the adjustment can be bought.",-2,0.04,0.13,0.51,0.32,-0.86
599546,11,"Q: These years are the peak of the company's investment, the company's new depreciation and financial pressure situation","A: The company's related pipelines have a depreciation period of 20 years and will only be transferred to fixed assets when they are ready for use. Judging from the current situation of the company, the overall pressure is not big.",-2,0.12,0.09,0.51,0.28,-0.86
569311,1,The company's sales in the fourth quarter fell by a large margin,"We forecast that the company's annual sales in 2010 will be 10.24 million tons, while the actual sales volume will be 962.22 million tons, a decrease of 4.28% compared with last year. The main reason was that the company's sales in the fourth quarter was 1,935,100 tons, a decrease of 16.03% from the previous quarter, resulting in a decrease of 1.92% in sales revenue. At the same time, the company concentrated the cost, resulting in an increase in operating costs of 4.01%, sales and management costs increased by 590.61% and 31.62%, respectively, making the fourth quarter results lower than expected.",-2,0.16,0.14,0.62,0.08,-0.86
709890,0,The main points are as follows,"1. In the first half of the year, revenue growth was slow, net profit was lower than expected, but revenue and profit will rebound sharply in the second half of the year;",-2,0.02,0.35,0.56,0.07,-0.86
581538,1,"In the second quarter, the volume and price fell, and the gross profit per ton fell.","The company's cement clinker sales in the second quarter was about 4.03 million tons, down 11% from the same period last year, and improved from the first quarter (3 million tons). The comprehensive price of cement clinker in the second quarter was about 246 yuan / ton, down 25 yuan from the first quarter; the cost was about 210 yuan / ton, down 12 yuan / ton from the first quarter; gross profit per ton was about 37 yuan / ton, gross profit margin It was about 14.94%, down 3.43 percentage points from the first quarter and down 16.60 percentage points from the same period of last year. This was mainly due to the continued weak demand for cement. At the same time, the new clinker production capacity in East China caused a big impact on the local market.",-2,0.14,0.12,0.72,0.03,-0.86
610012,1,SFC penalties for Everbright Securities,"1. The illegal income of Everbright Securities was confiscated 87.21 million yuan, and a fine of 5 times was imposed. The total amount of fines and fines was 523 million yuan. 2. The warnings were given to Xu Haoming, Yang Chizhong, Shen Shiguang and Yang Jianbo respectively. The fine was 600,000 yuan and the lifelong securities market was adopted. Prohibition measures, announced that Xu Haoming, Yang Chizhong, Shen Shiguang, Yang Jianbo are forbidden to enter the futures market; 3, ordered Mei Jian to correct and impose a fine of 200,000 yuan; 4, stop Everbright Securities engaged in securities business (except fixed income securities) The company suspended the approval of the new business of Everbright Securities, ordered the Everbright Securities to rectify and dispose of the responsible personnel, and reported the rectification and handling results to the CSRC.",-2,0,0,0.53,0.47,-0.85
757186,4,"In 2011, the consolidated business loss was mainly in the fourth quarter, and in 2012 it was more average.","In the first three quarters, the company's consolidated business income was -13.4%, and the third quarter consolidated business loss was 34.68 million yuan. In 2012, the monthly loss of the textile business was relatively average, while in the fourth quarter of 2011, the company's consolidated business lost 127 million. Last year's consolidated business losses were concentrated in the fourth quarter. ? Earnings forecasts and investment advice",-2,0.26,0.02,0.61,0.11,-0.85
583742,5,"Interim results were affected by the decrease in government subsidies, and profit growth was lower than expected","In the first half of 2012, the company achieved revenue of 473 million yuan, a year-on-year increase of 20.18%. The net profit attributable to the parent company was 38.08 million yuan, a year-on-year increase of 37.68%. The profit growth rate was slightly lower than the previous forecast. The main reason was",-2,0,0.48,0.5,0.01,-0.85
610222,1,"Second quarter sales were lower than market expectations, and advance receipts continued to decline","Although the second quarter has been the off-season of liquor sales, Moutai began in 2008, and sales in the second quarter were often larger than in the first quarter, mainly due to factors such as early prepayments by the market and dealers, and revenues in the second quarter of this year began to be less than the first quarter. On the one hand, due to the market adjustment period, high-end wine consumption demand is insufficient, on the other hand, pre-sales money also entered a low point, dealers began to rational. In the second quarter, revenue was 6.97 billion yuan, down 3.8% year-on-year and 2.8% quarter-on-quarter. At the same time, the advance receipts decreased to 835 million yuan, a further reduction of 2 billion yuan from the end of the first quarter.",-2,0.1,0.2,0.6,0.1,-0.85
585619,2,"The company's comprehensive gross profit margin fell by 2.34 percentage points, mainly due to the significant increase in the cost of levying business.","In the first half of the year, the company's operating cost was 1.809 billion yuan, a year-on-year increase of 7.60%. The comprehensive gross profit margin was 51.50%, a year-on-year decrease of 2.34 percentage points. The increase in operating costs of toll roads was the main reason. In the first half of the year, the company's toll road cost was 688 million yuan, an increase of 7.27% year-on-year. The gross profit margin was 73.13%, a decrease of 1.70 percentage points from the same period of last year. In the cost structure of the toll business, the depreciation and amortization cost keeps growing in line with the traffic flow; the road and bridge maintenance cost and system maintenance cost are higher due to the national highway maintenance inspection last year, which decreased by 6.04% and 42.69 respectively in the first half of this year. %; and due to the increase in labor costs and the increase in highway ETC revenues, the increase in networked service fees and the related ETC promotion expenses incurred, the business cost of the collection increased by approximately 18.48% year-on-year (the business accounted for 27.39%).",-2,0.25,0.16,0.56,0.02,-0.85
491697,0,"Net profit in the first half of the year decreased slightly compared with the same period of last year, and the chain continued to increase.","In the first half of 2012, the company achieved operating income of 1.228 billion yuan, a year-on-year increase of 12.05%. The net profit attributable to the parent company was 405 million yuan, down 2.37% year-on-year, corresponding to EPS 0.17 yuan, and other comprehensive income of 187 million yuan. The year-on-year decrease in brokerage and investment banking business income and the increase in business and administrative expenses led to a year-on-year decline in net profit for the first half of the year. The company's net assets per share at the end of the period is 5.00 yuan In the second quarter, the company achieved operating income of 646 million yuan, an increase of 10.87% from the previous quarter, net profit of 226 million yuan, an increase of 26.15% from the previous month, corresponding to EPS 0.10 yuan. The increase in brokerage and investment banking business income is an important reason for the company's second-quarter performance. .",-2,0.05,0.43,0.51,0.02,-0.85
734473,2,Road transport vehicle business fell as expected,"Affected by the slowdown in economic growth and the decline in the growth rate of fixed asset investment, sales of special vehicles fell as expected; sales volume reached 152,400 units, down 1.87% year-on-year, and revenue reached 16.725 billion yuan, down slightly by 0.17%. Under the influence of a slight decline, the net profit was 513 million yuan, a decrease of 12.65%. Among them, due to the weakening of logistics demand and the tightening of credit, the sales volume of semi-trailers, fence cars and flat cars decreased greatly. The domestic market and export of modified car business performed well. It is expected that the special-purpose vehicle market will still decline slightly this year, and the semi-trailer market may grow slightly, and the modified vehicle market will face a decline.",-2,0.11,0.05,0.82,0.02,-0.85
496395,1,Cost rigidity drags gross profit margin to record new single quarter,"In 2014Q1, the company's comprehensive gross profit margin was 31.6%, down about 6.6 percentage points year-on-year and 5.9 percentage points lower than the previous month. It was the lowest level of gross profit in the single quarter since the company's listing. The main reason for the decline in gross profit margin is that operating costs are mainly based on labor costs and have strong rigidity. The increase in operating costs of Q1 is significantly higher than the increase in revenue (operating costs increased by 19.2% year-on-year). From the perspective of the whole year of 2014, if the follow-up yen exchange rate remains stable, the gross profit margin is expected to rebound slightly from 2013.",-2,0.23,0.22,0.53,0.02,-0.85
564597,1,"Declining revenue, rising expenses during the period, resulting in a decline in net profit","In 2012, Tongyuan Petroleum maintained a relatively high growth rate during the period of 2.81% decline in operating income, resulting in a decrease in net profit of 22.49% in 2012. Among them, the sales expenses increased by 16.818 million, an increase of 22.08%, the administrative expenses increased by 3.0694 million, an increase of 8.42%, and the financial expenses decreased by 3,456,600, which alleviated the decline of net profit to some extent. The projects with the largest increase in sales expenses are: depreciation, spare parts and labor.",-2,0.17,0.02,0.69,0.12,-0.85
581538,0,"Net profit for the first half of 2012 fell by 80.49% year-on-year, EPS 0.146 yuan / share","In the first half of 2012, the company's operating income reached 2.007 billion yuan, down 22.11% year-on-year. The net profit attributable to shareholders of listed companies was 58 million yuan, down 80.49% year-on-year, and EPS was 0.146 yuan.",-2,0.01,0.16,0.64,0.19,-0.85
616126,3,Impairment affects net profit in the fourth quarter by 39%,"In the fourth quarter, Datong Coal's net profit was 420 million yuan, accounting for only 18% of the year, and a quarter-on-quarter decline of 39%. The decrease in net profit was mainly due to the provision for impairment of assets of 185 million yuan in the fourth quarter. Among them, the provision for bad debts and the provision for impairment of fixed assets accounted for 50% and 48% respectively, and the total impact on EPS was about -0.11. yuan.",-2,0.06,0.13,0.53,0.28,-0.85
1921185,1,"Capital market is in a bad mood, putting pressure on first quarter performance","Due to the continued sluggish domestic capital market, investors' demand for securities financial information services has declined. In addition, the amount of advance receipts decreased at the end of 2016, which led to a decrease in operating income confirmed after meeting the conditions in the first quarter of 2017. As a result, the net profit attributable to shareholders of listed companies declined in the first quarter of 2017 to a certain extent.",-2,0.19,0.19,0.55,0.07,-0.85
572123,1,Industry downturn caused herbicide gross margin to fall sharply,"In 2010, the glyphosate industry suffered from severe overcapacity and cancellation of export tax rebates, and prices remained low (Figure 2). As a result, the gross profit margin of the company's herbicide business (mainly glyphosate) fell sharply from 18.3% to 7.6%. This is also the main reason for the company's overall gross profit margin decline in 2010 (the gross profit margin of pyrethroid products is basically stable). The period cost control and non-recurring gains and losses have a positive impact on the net profit. During the reporting period, the company's overall expenses showed a steady and declining situation, of which the management expenses decreased by nearly 10 million yuan. In addition, in 2010, the company received government subsidies of 31.67 million yuan, an increase of 1996 million yuan over the previous year. And non-recurring gains and losses have a positive impact on net profit.",-2,0.26,0.02,0.71,0.01,-0.85
587885,2,Gross profit margin still rises as the cost of labor increases sharply,"As the company's capacity utilization rate has reached the limit, a number of production links have started three shifts in September, resulting in a rapid increase in overtime expenses in the current period. In addition, due to the establishment of Foxconn and Gree air conditioners in Zhengzhou, local wage levels have risen. From what we have learned, the average monthly income of frontline workers in September has exceeded 3,000 yuan. Although the labor cost increased, the gross profit margin of the company's products in the third quarter still reached 17.38%, which was 0.31 and 0.61 percentage points higher than the same period of the previous year. The upward trend of gross profit margin did not change. In the third quarter, the company's sales expense ratio increased significantly year-on-year, but mainly due to short-term factors. The company's domestic sales are mainly based on direct sales. Since the company's sales have continued to flourish since 2010, a large number of sales personnel have been running business in various parts of the country in the first half of the year. Therefore, a large amount of reimbursement expenses have not been settled, and travel expenses are settled in the third quarter. The sales expense ratio for the quarter increased by 0.3 percentage points year-on-year and by 1.58 percentage points quarter-on-quarter.",-2,0.1,0.1,0.7,0.09,-0.85
582776,2,Gross profit margin in the second quarter decreased slightly year-on-year,"In the second quarter, the company's comprehensive gross profit margin was 28.90%, down 0.31 year-on-year and 0.57 percentage points from the previous month. The consolidated gross profit margin for the first half of the year was 28.60%, down 0.84 percentage points year-on-year. The overall gross profit margin decreased slightly from the same period of the previous year: 1) the proportion of exports increased in the first half of the year (the gross profit margin was slightly lower), the adjustment of the domestic and foreign sales structure caused the gross profit margin to decrease slightly year-on-year; 2) the increase in export orders and the limited production of the company, so Some of the original self-made parts were processed out, and the overall cost increased.",-2,0.06,0.37,0.54,0.03,-0.85
730849,4,"The decline in the price of fiber optic cable has led to a significant drop in gross profit margin, but positive factors have prompted prices to stabilize and rebound.","Last year, the output of optical cable reached 138 million core kilometers, a year-on-year increase of 38.23%. The company's products are also in short supply. There are three shifts of workers and 13 towers are fully loaded. However, the gross profit margin dropped significantly, and the gross profit margin of the main products decreased by 2.5 points. Among them, the annual gross profit margin of fiber optic cable dropped by 3.46 points, mainly due to the price drop: 1) the 3G scale construction promoted the expansion of the industry in the early stage, resulting in overcapacity; 2) The operator’s control of cost has been strengthened since 2010, resulting in vicious competition. Excessive price wars. At one time, the price of fiber dropped to the bottom, and the lowest price was reported by the manufacturer at 67 yuan/core. In the middle of the year, two factors contributed to the stabilization and recovery of optical fiber prices: 1) The earthquake in Japan caused tight supply of light bars in April, and there was a shortage of supply in the market; 2) The Ministry of Industry and Information Technology issued a document requiring operators to pay attention to the quality of network construction, and the proportion of technology in the bidding process. Improve, gradually change from the lowest bid to the middle bid. According to CCID Consulting's data, the annual operator collection price is around 72 yuan.",-2,0.11,0.11,0.74,0.04,-0.85
699419,0,Many factors have caused a sharp drop in profits,"In 2010, the company achieved operating income of 613 million yuan, an increase of 18.56%; net profit attributable to owners of the parent company was 33.52 million yuan, down 48.89%; EPS 0.1584 yuan, EPS (net) 0.19 yuan, lower than expected. The net profit was significantly lower than expected mainly because: 1. The period expense increased by 53.10 million yuan, an increase of 50%, which was significantly higher than the sales revenue growth; 2. The write-off of historical bad debts caused the asset impairment loss to increase by 4.42 million yuan; 3. The government The decrease in subsidies reduced the non-operating income by 22.56 million yuan; 4. The fire and flood caused an increase of 14.9 million yuan in non-operating expenses. However, the company's cash flow per operating activity was 0.24 yuan, which was greater than the earnings per share (0.1584 yuan), and the cash flow from operating activities was good.",-2,0.02,0.36,0.6,0.02,-0.85
833962,0,4Q results fell year-on-year,"From the same period of last year, due to the negative financial value of the company in the same period last year, the year-on-year decline in the company's performance in the fourth quarter of this year may be due to the positive financial expenses this year. On a month-on-month basis, the company's 4Q results increased on a quarter-on-quarter basis. On the one hand, the decline in mining prices continued to exceed steel prices in the fourth quarter. On the other hand, domestic steel exports rose month by month in the fourth quarter, and the company's export business also performed well.",-2,0.2,0.15,0.64,0.01,-0.85
513821,6,"During the period, the expense ratio was affected by the consolidation of DyStar, and the increase in bad debts and the entrusted loan income decreased more than expected.","The company's comprehensive gross profit margin was 29.94%, up 10.74% year-on-year; the period expense ratio was 16.7%, up 5.58 percentage points year-on-year, of which the sales expense ratio was 7.32%, up 4.54 percentage points; the management expense ratio was 7.86%, up 0.04 percentage point year-on-year; The expense ratio was 1.53%, up 1 percentage point year-on-year. During the reporting period, the asset impairment loss was 165 million, an increase of approximately 41 million year-on-year, mainly due to the increase in bad debt losses of nearly 90 million; the investment income was 103 million, a decrease of approximately 71 million year-on-year, mainly due to the decrease in long-term investment income and the substantial decrease in entrusted loan income; The external income decreased by 230 million, mainly due to the inclusion of DSD's combined income of 330 million in 2012. We believe that the increase in the company's gross profit margin mainly comes from the increase in the price of dyes and intermediates, the consolidation of DyStar and the integration of the industrial chain; the increase in the expense ratio during the period is mainly due to the consolidation of DyStar; the significant increase in bad debt losses and the entrusted loan income. The sharp reduction has exceeded expectations, indicating that the company is affected to some extent by the bad debt growth in Jiangsu and Zhejiang.",-2,0.04,0.05,0.89,0.02,-0.84
752566,1,"The downturn in downstream demand caused the company's coal price to fall, dragging down the company's performance","Affected by the decline in steel demand, the average sales price of coking coal, fat coal and lean coal in the company's headquarters fell by about 3.5% in the second quarter, which reduced the coal revenue of the company and caused the company's coal business gross profit rate to fall to 51.7%. It is also the main reason for the company's second-quarter performance decline.",-2,0.03,0.06,0.91,0,-0.84
646439,1,"Gross profit margin decline, cost increase","During the reporting period, the company's gross profit margin was 19.64%, down 4.39 percentage points year-on-year. The price of live pigs has been falling during the Spring Festival period and after that, the decline rate is above 20%. Due to the long price drop, the company's low temperature meat price is lower than the beginning of the year. (The average price in the first quarter was about 20,900 yuan / ton), and the average price of chilled meat in the first quarter was 12,100 yuan. In general, in the short-term decline in the price of live pigs, the gross profit rate of raw meat is reduced, and the low-temperature meat is rising. If the price decline period is longer, the price of low-temperature meat must be lowered; in the process of rising pig prices, the situation is reversed. In addition, driven by the increase in sales expenses (up 12.14%) and management expenses (up 66.95%), the company's expense ratio increased by 0.73 percentage points to 8.96%.",-2,0.3,0.06,0.53,0.12,-0.84
680694,1,The rise in coal prices and the consolidation of Jiangsu branches have led to a decline in gross profit margin,"In the first half of the year, the average price of contract coal and market coal rose by 8% and 27% respectively, and the increase in coal price had a significant negative impact on the gross profit margin in the first half of the year. In addition, according to the first half of 2009 and the first half of 2010, the sales margin of Jiangsu Branch was 22% and 11%, and the sales revenue was calculated at 46.0 and 4.93 billion yuan. The Jiangsu branch consolidated the gross profit margin of the company. About 2.9 percentage points. At the same time, factors such as the commissioning of the new unit of Dadu River, the reduction of power generation by Xuanwei Power Plant and the shutdown of the units of Chaoyang Power Plant also negatively affected the gross profit margin.",-2,0.03,0.2,0.67,0.1,-0.84
1871643,0,"Performance losses have no effect on intrinsic value, long-term development","The company expects net profit attributable to shareholders of listed companies in the first three quarters to be approximately 290 million yuan to 390 million yuan, a decrease of 1703% - 2256% over the same period last year. The main reason is that the sales revenue of residential products in the first three quarters of this year decreased compared with the same period of the previous year, and the loss of assets was caused by the termination of operating lease projects in the current period. The company has been actively seeking transformation due to large operating pressures, and the current loss forecast is expected to enhance the development momentum.",-2,0.12,0.26,0.61,0.01,-0.84
733305,0,74% of the increase in operating income comes from concrete machinery and tower cranes,"Due to the post-cyclicality of concrete machinery and tower cranes, the negative impact of real estate regulation has not yet been revealed, and the two still maintain high growth: (1) sales revenue of concrete machinery increased by 50.61% year-on-year, contributing to company revenue",-2,0.02,0.45,0.5,0.02,-0.84
694186,3,"PS version of the base competition is fierce, short-term will not seek development","The company's plates are mainly PS board bases and CTP boards for printing, while CTP is not introduced as a product. Due to the fierce competition in the industry, the PS board base belongs to the buyer's market. Based on the current industry competition pattern, the company's sheet metal business will maintain the status quo and will not seek development in the short term.",-2,0.15,0.01,0.51,0.33,-0.84
524470,1,Container business: weak freight rates and rising fuel costs,"In the first quarter of 2011, the container shipping business achieved a revenue of 7.885 billion yuan, a year-on-year increase of 3.8%, and the cargo volume was 1.46 million TEUs, an increase of 12.1% year-on-year. However, the continued weakening of the freight rate lowered the company's profitability, according to China's container exports. The index (CCFI) shows that the data for the first quarter of 2010 is significantly better than 2011, especially for the European/Mediterranean route (see Table 1). In terms of cost, the continuous increase in fuel prices in the first quarter also brought great cost pressure to the company's operations. The average price of 380cst fuel in Singapore in the first quarter was US$603/ton, while the average price in the same period last year was US$470/ton, an increase of 28.3. %.",-2,0.26,0.09,0.57,0.07,-0.84
1989656,1,The supply side is difficult to release in the short term,"There are three main reasons for the limited supply. First, environmental protection and production restrictions have caused manufacturers in Hebei and Shanxi to stop production at the end of last year, and the production capacity is 200,000-300,000 tons. Second, the production period of graphite electrode products must be at least 4 More than a month, the stacking cycle is difficult to increase in the short-term; third, because the main raw material needle coke is controlled by foreign countries, the supply restrictions can not effectively release the output of many domestic companies;",-2,0.11,0,0.65,0.24,-0.84
610012,0,The facts of the CSRC’s violation of the law by Everbright Securities: 1,"Everbright Securities converts and sells ETF funds and shorts stock index futures contracts after the abnormal trading events occur, which constitutes insider trading; 2. The lack of internal control of Everbright Securities, management confusion, and technical design flaws in the self-operated business arbitrage system The abnormal transaction occurred 1) The system design was wrong; 2) The strategic investment department was not included in the risk control system.",-2,0,0,0.52,0.48,-0.84
1750868,1,"Gross profit margin turned negative for the first time, loss of fair value change increased loss","As of the end of the first quarter, the average price of cement in North China fell by 21% year-on-year. Although cement shipments improved year-on-year, revenue still fell by 4.6%. In the first quarter, gross profit margin fell by 5.5 percentage points year-on-year to -1.8%, which was the first time in a single quarter. The three expenses decreased by 6.3% year-on-year. The change in fair value changes and the accumulated investment losses totaled 230 million yuan, resulting in a quarter-on-year increase in losses. Operating cash flow was negative and the debt ratio declined slightly. The operating cash flow in the first quarter was -323 million yuan, mainly due to the increase in prepaid raw materials; the net gearing ratio decreased by 3 percentage points from the beginning of the year to 193%.",-2,0.32,0.05,0.57,0.05,-0.84
1318867,2,"The company's gross profit margin decreased slightly, and government subsidy growth increased profit growth rate.","Affected by the inventory of the country, the company's gross profit margin decreased by 0.5 percentage points. The annual asset impairment loss reached 118 million yuan, up 81.5% year-on-year, of which the goodwill impairment loss reached 85.56 million, resulting in an operating profit growth rate of only 5.6%. The company's non-operating net income was 577 million yuan, of which government subsidies were 579 million yuan, which increased profit growth.",-2,0,0.43,0.56,0,-0.84
587963,4,"Costs rise, steel prices are sluggish, and performance is declining quarter by quarter","The company's Q1, Q2, and Q3 EPS were 0.078 yuan, 0.064 yuan, and 0.032 yuan, respectively, and the profit decline was obvious.",-2,0.18,0.21,0.53,0.08,-0.84
491697,1,Brokerage business market share and commission rate increase,"In the first half of 2012, the company achieved a net brokerage commission income of 473 million yuan, a year-on-year decrease of 28.94%. In the first half of the year, the company's equity fund market share was 1.75%, an increase of 0.02 percentage points from 2011. The market share in the second quarter was 1.79%, an increase of 0.07 percentage points from the previous quarter. In the first half of the year, the net commission rate of equity funds was 0.076%, down 2.75% year-on-year. The commission rate in the second quarter was 0.077%, up 5.02% from the previous month.",-2,0.2,0.14,0.52,0.14,-0.84
607929,0,"Revenue, gross profit margin decline, rigid increase in labor costs led to an increase in net profit and negative growth","In the first half of the year, Zhongbai Group achieved operating income of 8.484 billion, a year-on-year increase of 6.32%. The slowdown was mainly due to the weak supermarket environment and the closure of two hypermarkets. At the same time, the large-scale promotion reduced the gross profit margin by 0.60 percentage points in the first half of the year; Fees and rents increased by 15.92% and 8.32% respectively, resulting in a 7.65% increase in expenses during the sales period and a 0.11 percentage point increase to 16.02%. In addition, government subsidies decreased by 4 million year-on-year, and the actual income tax rate increased by 1.26 percentage points, resulting in a net profit of 20.96% year-on-year, which was significantly larger than the -3.53% in the same period last year. According to industry observations, supermarket revenue increased by 4.7%, dragging down the overall growth rate. Affected by the cultivation and promotion of department stores, the gross profit margin of department stores and supermarkets decreased by -2.58% and -0.39% respectively. In the first half of the year, the company opened 30 new stores, 10 and 20 new warehouse supermarkets and convenience supermarkets, and the speed of opening stores slowed down. At the same time, 300 million votes were issued.",-2,0.03,0.19,0.74,0.03,-0.84
758346,1,"Net profit increased sharply year-on-year, but fell from the second quarter","During the reporting period, it achieved operating income of 5.02 billion yuan, total profit of 385 million yuan, and net profit of 326 million yuan, up 30.54%, 18.06% and 17.93%, respectively, and earnings per share of 0.34 yuan. According to the quarterly data, the net profit improved significantly in the third quarter, which was lower than that in the second quarter. In the third quarter, the operating income was 1.965 billion yuan, up 84.18% year-on-year and 15.39% month-on-month. The net profit attributable to the parent company was 108 million yuan, up 566.29% year-on-year and 22.20% month-on-month, equivalent to EPS 0.11 yuan. In the third quarter, the comprehensive gross profit margin was 13.45% and the net profit margin was 5.52%, both of which were lower than the second quarter.",-2,0.05,0.3,0.62,0.03,-0.84
610152,0,Performance is in line with expectations,"The 12-year profit source of the largest payment cipher products faced a decline in volume and price. The main competitor, Zhaori Technology, saw its revenue decline by 30% year-on-year and profit fell by 46%. In this context, the growth of Sunyard’s close to 40% in the first half of the year is commendable. Shows the company in the bank flow",-2,0.05,0.12,0.79,0.03,-0.84
719914,2,"During the period, the expense rate rose to 9%, up 3 percentage points from the beginning of the year.","Main reasons: 1) equity incentive fees; 2) hotel company opening fees; (3) new projects, increased personnel, increased sales expenses; 4) increased interest expenses due to increased trust loans. Affected by short-term factors, as the company's internal control indicators, we expect a decline in the future.",-2,0.17,0.05,0.61,0.17,-0.84
1859322,0,Maintain “hold” rating on Tsingtao Beer,"Risk warning: The beer market is highly competitive, and its sales volume is susceptible to weather changes. The production and price of important raw barley are also greatly affected by the weather in the producing area, and should be fully concerned about its risks.",-2,0.12,0.01,0.72,0.14,-0.84
641493,0,2009 performance is lower than expected,"The company's main business income in 2009 was 1.30 billion yuan, and the net profit attributable to the parent company was 260 million yuan, down 19% year-on-year and up 21%. Earnings per share were 0.41 yuan, lower than our expectation. The dividend plan is to pay a cash dividend of 3 yuan for every 10 shares. The lower-than-expected revenue in Jiangsu market is the main reason for the company's lower-than-expected results",-2,0.06,0.33,0.55,0.06,-0.84
686963,3,4 future cement demand growth slowdown and overcapacity bring some pressure,"In the future, the growth rate of real estate investment will tend to decline under the continuous control of policies; in 2009, cement investment has increased substantially, and it has already led to overcapacity of cement production in some areas. The company is located in North China.",-2,0.25,0.03,0.71,0.02,-0.84
758346,2,Urea profit fell compared with the second quarter,"In the third quarter, affected by the decline in coal prices, urea prices fell from 2,400 yuan / ton to 2050 yuan / ton, while urea prices in the second quarter were in the rising channel, once rose to 2,450 yuan / ton, until the National Development and Reform Commission urgently met with major urea producers After that, the price of urea began to fall. Although the prices of thermal coal and anthracite also declined in the third quarter, urea prices fell even more, so the gross profit margin of urea decreased, resulting in significantly lower urea profit in the third quarter than in the second quarter.",-2,0.35,0.04,0.57,0.04,-0.84
